state,stabbrs,year,sex,Census_Region,Census_Division,LE,race
Alabama,AL,1985,Male,South,East South Central,70.62304674,white
Alabama,AL,1986,Female,South,East South Central,78.63556326,white
Alabama,AL,1986,Male,South,East South Central,70.71239299,white
Alabama,AL,1987,Female,South,East South Central,78.75003949,white
Alabama,AL,1987,Male,South,East South Central,70.85861615,white
Alabama,AL,1988,Female,South,East South Central,78.64257723,white
Alabama,AL,1988,Male,South,East South Central,70.96599217,white
Alabama,AL,1989,Female,South,East South Central,78.78045291,white
Alabama,AL,1989,Male,South,East South Central,71.08621454,white
Alabama,AL,1990,Female,South,East South Central,78.92185599,white
Alabama,AL,1990,Male,South,East South Central,71.25968907,white
Alabama,AL,1991,Female,South,East South Central,78.99744019,white
Alabama,AL,1991,Male,South,East South Central,71.42637236,white
Alabama,AL,1992,Female,South,East South Central,79.17179506,white
Alabama,AL,1992,Male,South,East South Central,71.66270123,white
Alabama,AL,1993,Female,South,East South Central,78.88148378,white
Alabama,AL,1993,Male,South,East South Central,71.79173606,white
Alabama,AL,1994,Female,South,East South Central,78.90500157,white
Alabama,AL,1994,Male,South,East South Central,71.89220395,white
Alabama,AL,1995,Female,South,East South Central,78.86275058,white
Alabama,AL,1995,Male,South,East South Central,71.94324541,white
Alabama,AL,1996,Female,South,East South Central,78.83851214,white
Alabama,AL,1996,Male,South,East South Central,72.00976117,white
Alabama,AL,1997,Female,South,East South Central,78.75176391,white
Alabama,AL,1997,Male,South,East South Central,72.17952216,white
Alabama,AL,1998,Female,South,East South Central,78.65569301,white
Alabama,AL,1998,Male,South,East South Central,72.29706169,white
Alabama,AL,1999,Female,South,East South Central,78.54931951,white
Alabama,AL,1999,Male,South,East South Central,72.41598349,white
Alabama,AL,2000,Female,South,East South Central,78.52013517,white
Alabama,AL,2000,Male,South,East South Central,72.48677328,white
Alabama,AL,2001,Female,South,East South Central,78.45313891,white
Alabama,AL,2001,Male,South,East South Central,72.63828019,white
Alabama,AL,2002,Female,South,East South Central,78.35058572,white
Alabama,AL,2002,Male,South,East South Central,72.66682073,white
Alabama,AL,2003,Female,South,East South Central,78.25864824,white
Alabama,AL,2003,Male,South,East South Central,72.71478861,white
Alabama,AL,2004,Female,South,East South Central,78.35989059,white
Alabama,AL,2004,Male,South,East South Central,72.7797017,white
Alabama,AL,2005,Female,South,East South Central,78.27544359,white
Alabama,AL,2005,Male,South,East South Central,72.85912778,white
Alabama,AL,2006,Female,South,East South Central,78.43935384,white
Alabama,AL,2006,Male,South,East South Central,72.92814802,white
Alabama,AL,2007,Female,South,East South Central,78.54736603,white
Alabama,AL,2007,Male,South,East South Central,73.00856477,white
Alabama,AL,2008,Female,South,East South Central,78.4808254,white
Alabama,AL,2008,Male,South,East South Central,73.16572395,white
Alabama,AL,2009,Female,South,East South Central,78.64203956,white
Alabama,AL,2009,Male,South,East South Central,73.31534648,white
Alabama,AL,2010,Female,South,East South Central,78.63860966,white
Alabama,AL,2010,Male,South,East South Central,73.3863681,white
Alabama,AL,2011,Female,South,East South Central,78.63420776,white
Alabama,AL,2011,Male,South,East South Central,73.41587781,white
Alabama,AL,2012,Female,South,East South Central,78.58080852,white
Alabama,AL,2012,Male,South,East South Central,73.46014965,white
Alabama,AL,2013,Female,South,East South Central,78.68861862,white
Alabama,AL,2013,Male,South,East South Central,73.33766857,white
Arizona,AZ,1969,Female,West,Mountain,76.33515926,white
Arizona,AZ,1969,Male,West,Mountain,67.88692197,white
Arizona,AZ,1970,Female,West,Mountain,76.42113757,white
Arizona,AZ,1970,Male,West,Mountain,68.1249263,white
Arizona,AZ,1971,Female,West,Mountain,76.65021734,white
Arizona,AZ,1971,Male,West,Mountain,68.40226725,white
Arizona,AZ,1972,Female,West,Mountain,77.0587128,white
Arizona,AZ,1972,Male,West,Mountain,68.80020359,white
Arizona,AZ,1973,Female,West,Mountain,77.31499365,white
Arizona,AZ,1973,Male,West,Mountain,69.0626098,white
Arizona,AZ,1974,Female,West,Mountain,77.80500156,white
Arizona,AZ,1974,Male,West,Mountain,69.54296258,white
Arizona,AZ,1975,Female,West,Mountain,78.21851068,white
Arizona,AZ,1975,Male,West,Mountain,70.10208183,white
Arizona,AZ,1976,Female,West,Mountain,78.59145629,white
Arizona,AZ,1976,Male,West,Mountain,70.55662432,white
Arizona,AZ,1977,Female,West,Mountain,78.89446569,white
Arizona,AZ,1977,Male,West,Mountain,70.81216912,white
Arizona,AZ,1978,Female,West,Mountain,78.95279706,white
Arizona,AZ,1978,Male,West,Mountain,70.97189123,white
Arizona,AZ,1979,Female,West,Mountain,79.15211031,white
Arizona,AZ,1979,Male,West,Mountain,71.21981463,white
Arizona,AZ,1980,Female,West,Mountain,79.09699147,white
Arizona,AZ,1980,Male,West,Mountain,71.30610825,white
Arizona,AZ,1981,Female,West,Mountain,79.33205369,white
Arizona,AZ,1981,Male,West,Mountain,71.61223846,white
Arizona,AZ,1982,Female,West,Mountain,79.4245111,white
Arizona,AZ,1982,Male,West,Mountain,71.93586819,white
Arizona,AZ,1983,Female,West,Mountain,79.57474142,white
Arizona,AZ,1983,Male,West,Mountain,72.22495899,white
Arizona,AZ,1984,Female,West,Mountain,79.61300415,white
Arizona,AZ,1984,Male,West,Mountain,72.28397788,white
Arizona,AZ,1985,Female,West,Mountain,79.65462214,white
Arizona,AZ,1985,Male,West,Mountain,72.43033981,white
Arizona,AZ,1986,Female,West,Mountain,79.79537256,white
Arizona,AZ,1986,Male,West,Mountain,72.57759894,white
Arizona,AZ,1987,Female,West,Mountain,79.74019993,white
Arizona,AZ,1987,Male,West,Mountain,72.60541129,white
Arizona,AZ,1988,Female,West,Mountain,79.869813250000007,white
Arizona,AZ,1988,Male,West,Mountain,72.7701474,white
Arizona,AZ,1989,Female,West,Mountain,80.01100958,white
Arizona,AZ,1989,Male,West,Mountain,73.02106143,white
Arizona,AZ,1990,Female,West,Mountain,80.23219355,white
Arizona,AZ,1990,Male,West,Mountain,73.19368109,white
Arizona,AZ,1991,Female,West,Mountain,80.46543586,white
Arizona,AZ,1991,Male,West,Mountain,73.45275936,white
Arizona,AZ,1992,Female,West,Mountain,80.58914634,white
Arizona,AZ,1992,Male,West,Mountain,73.47660095,white
Arizona,AZ,1993,Female,West,Mountain,80.40261237,white
Arizona,AZ,1993,Male,West,Mountain,73.46323768,white
Arizona,AZ,1994,Female,West,Mountain,80.49133057,white
Arizona,AZ,1994,Male,West,Mountain,73.68753347,white
Arizona,AZ,1995,Female,West,Mountain,80.57889262,white
Arizona,AZ,1995,Male,West,Mountain,73.93028561,white
Arizona,AZ,1996,Female,West,Mountain,80.6381233,white
Arizona,AZ,1996,Male,West,Mountain,74.25524152,white
Arizona,AZ,1997,Female,West,Mountain,80.69613839,white
Arizona,AZ,1997,Male,West,Mountain,74.74752741,white
Arizona,AZ,1998,Female,West,Mountain,80.7635904,white
Arizona,AZ,1998,Male,West,Mountain,74.86955841,white
Arizona,AZ,1999,Female,West,Mountain,80.75414784,white
Arizona,AZ,1999,Male,West,Mountain,74.90805593,white
Arizona,AZ,2000,Female,West,Mountain,80.81160325,white
Arizona,AZ,2000,Male,West,Mountain,75.13408727,white
Arizona,AZ,2001,Female,West,Mountain,80.88468953,white
Arizona,AZ,2001,Male,West,Mountain,75.24049389,white
Arizona,AZ,2002,Female,West,Mountain,80.79627544,white
Arizona,AZ,2002,Male,West,Mountain,75.18777902,white
Arizona,AZ,2003,Female,West,Mountain,80.87158191,white
Arizona,AZ,2003,Male,West,Mountain,75.38763233,white
Arizona,AZ,2004,Female,West,Mountain,81.0308984,white
Arizona,AZ,2004,Male,West,Mountain,75.60321383,white
Arizona,AZ,2005,Female,West,Mountain,80.95808867,white
Arizona,AZ,2005,Male,West,Mountain,75.63437218,white
Arizona,AZ,2006,Female,West,Mountain,81.14980767,white
Arizona,AZ,2006,Male,West,Mountain,75.96954882,white
Arizona,AZ,2007,Female,West,Mountain,81.58380283,white
Arizona,AZ,2007,Male,West,Mountain,76.43978858,white
Arizona,AZ,2008,Female,West,Mountain,81.94119787,white
Arizona,AZ,2008,Male,West,Mountain,76.83721802,white
Arizona,AZ,2009,Female,West,Mountain,82.31123426,white
Arizona,AZ,2009,Male,West,Mountain,77.27907986,white
Arizona,AZ,2010,Female,West,Mountain,82.43070311,white
Arizona,AZ,2010,Male,West,Mountain,77.4460105,white
Arizona,AZ,2011,Female,West,Mountain,82.32945718,white
Arizona,AZ,2011,Male,West,Mountain,77.51098333,white
Arizona,AZ,2012,Female,West,Mountain,82.54545729,white
Arizona,AZ,2012,Male,West,Mountain,77.58832661,white
Arizona,AZ,2013,Female,West,Mountain,82.60941114,white
Arizona,AZ,2013,Male,West,Mountain,77.81555218,white
Arkansas,AR,1969,Female,South,West South Central,76.52843136,white
Arkansas,AR,1969,Male,South,West South Central,67.72258331,white
Arkansas,AR,1970,Female,South,West South Central,76.66928033,white
Arkansas,AR,1970,Male,South,West South Central,67.83461442,white
Arkansas,AR,1971,Female,South,West South Central,76.81522957,white
Arkansas,AR,1971,Male,South,West South Central,67.91518581,white
Arkansas,AR,1972,Female,South,West South Central,76.85984621,white
Arkansas,AR,1972,Male,South,West South Central,67.98295958,white
Arkansas,AR,1973,Female,South,West South Central,76.9675125,white
Arkansas,AR,1973,Male,South,West South Central,68.16028734,white
Arkansas,AR,1974,Female,South,West South Central,77.26028294,white
Arkansas,AR,1974,Male,South,West South Central,68.5090974,white
Arkansas,AR,1975,Female,South,West South Central,77.78554893,white
Arkansas,AR,1975,Male,South,West South Central,68.84396203,white
Arkansas,AR,1976,Female,South,West South Central,78.10684349,white
Arkansas,AR,1976,Male,South,West South Central,69.2928142,white
Arkansas,AR,1977,Female,South,West South Central,78.30884746,white
Arkansas,AR,1977,Male,South,West South Central,69.69073318,white
Arkansas,AR,1978,Female,South,West South Central,78.41404925,white
Arkansas,AR,1978,Male,South,West South Central,70.01410954,white
Arkansas,AR,1979,Female,South,West South Central,78.67111835,white
Arkansas,AR,1979,Male,South,West South Central,70.27624627,white
Arkansas,AR,1980,Female,South,West South Central,78.69531424,white
Arkansas,AR,1980,Male,South,West South Central,70.34852871,white
Arkansas,AR,1981,Female,South,West South Central,78.81977633,white
Arkansas,AR,1981,Male,South,West South Central,70.55305866,white
Arkansas,AR,1982,Female,South,West South Central,78.90681767,white
Arkansas,AR,1982,Male,South,West South Central,70.70368889,white
Arkansas,AR,1983,Female,South,West South Central,78.89099656,white
Arkansas,AR,1983,Male,South,West South Central,70.68654134,white
Arkansas,AR,1984,Female,South,West South Central,78.83394924,white
Arkansas,AR,1984,Male,South,West South Central,70.72387228,white
Arkansas,AR,1985,Female,South,West South Central,78.78563507,white
Arkansas,AR,1985,Male,South,West South Central,70.74545054,white
Arkansas,AR,1986,Female,South,West South Central,78.89633367,white
Arkansas,AR,1986,Male,South,West South Central,70.89340452,white
Arkansas,AR,1987,Female,South,West South Central,78.8626428,white
Arkansas,AR,1987,Male,South,West South Central,71.01309285,white
Arkansas,AR,1988,Female,South,West South Central,78.82778891,white
Arkansas,AR,1988,Male,South,West South Central,71.16249077,white
Arkansas,AR,1989,Female,South,West South Central,78.95028178,white
Arkansas,AR,1989,Male,South,West South Central,71.39365592,white
Arkansas,AR,1990,Female,South,West South Central,79.09428187,white
Arkansas,AR,1990,Male,South,West South Central,71.5740052,white
Arkansas,AR,1991,Female,South,West South Central,79.12612051,white
Arkansas,AR,1991,Male,South,West South Central,71.68581676,white
Arkansas,AR,1992,Female,South,West South Central,79.17780286,white
Arkansas,AR,1992,Male,South,West South Central,71.75534753,white
Arkansas,AR,1993,Female,South,West South Central,79.00324824,white
Arkansas,AR,1993,Male,South,West South Central,71.71289942,white
Arkansas,AR,1994,Female,South,West South Central,79.07422708,white
Arkansas,AR,1994,Male,South,West South Central,71.87292537,white
Arkansas,AR,1995,Female,South,West South Central,79.09565045,white
Arkansas,AR,1995,Male,South,West South Central,72.0371186,white
Arkansas,AR,1996,Female,South,West South Central,79.02218669,white
Arkansas,AR,1996,Male,South,West South Central,72.18263137,white
Arkansas,AR,1997,Female,South,West South Central,78.83576124,white
Arkansas,AR,1997,Male,South,West South Central,72.252927,white
Arkansas,AR,1998,Female,South,West South Central,78.81471754,white
Arkansas,AR,1998,Male,South,West South Central,72.44804024,white
Arkansas,AR,1999,Female,South,West South Central,78.76740729,white
Arkansas,AR,1999,Male,South,West South Central,72.59283317,white
Arkansas,AR,2000,Female,South,West South Central,78.74774862,white
Arkansas,AR,2000,Male,South,West South Central,72.7148328,white
Arkansas,AR,2001,Female,South,West South Central,78.76042665,white
Arkansas,AR,2001,Male,South,West South Central,72.81819536,white
Arkansas,AR,2002,Female,South,West South Central,78.68935573,white
Arkansas,AR,2002,Male,South,West South Central,72.88429945,white
Arkansas,AR,2003,Female,South,West South Central,78.760383,white
Arkansas,AR,2003,Male,South,West South Central,73.09399982,white
Arkansas,AR,2004,Female,South,West South Central,78.89069336,white
Arkansas,AR,2004,Male,South,West South Central,73.29754545,white
Arkansas,AR,2005,Female,South,West South Central,78.94192696,white
Arkansas,AR,2005,Male,South,West South Central,73.36726249,white
Arkansas,AR,2006,Female,South,West South Central,79.09106157,white
Arkansas,AR,2006,Male,South,West South Central,73.53339901,white
Arkansas,AR,2007,Female,South,West South Central,79.07334368,white
Arkansas,AR,2007,Male,South,West South Central,73.63522869,white
Arkansas,AR,2008,Female,South,West South Central,78.94731542,white
Arkansas,AR,2008,Male,South,West South Central,73.61591636,white
Arkansas,AR,2009,Female,South,West South Central,79.13756331,white
Arkansas,AR,2009,Male,South,West South Central,73.68881959,white
Arkansas,AR,2010,Female,South,West South Central,79.10983389,white
Arkansas,AR,2010,Male,South,West South Central,73.72675101,white
Arkansas,AR,2011,Female,South,West South Central,78.93495037,white
Arkansas,AR,2011,Male,South,West South Central,73.7724003,white
Arkansas,AR,2012,Female,South,West South Central,78.90527925,white
Arkansas,AR,2012,Male,South,West South Central,73.7793254,white
Arkansas,AR,2013,Female,South,West South Central,78.88448423,white
Arkansas,AR,2013,Male,South,West South Central,73.80712974,white
California,CA,1969,Female,West,Pacific,75.61137485,white
California,CA,1969,Male,West,Pacific,68.2476608,white
California,CA,1970,Female,West,Pacific,75.84916064,white
California,CA,1970,Male,West,Pacific,68.59865005,white
California,CA,1971,Female,West,Pacific,76.05663204,white
California,CA,1971,Male,West,Pacific,68.88161669,white
California,CA,1972,Female,West,Pacific,76.35679768,white
California,CA,1972,Male,West,Pacific,70.31367646,white
California,CA,1973,Female,West,Pacific,76.54274257,white
California,CA,1973,Male,West,Pacific,69.30995412,white
California,CA,1974,Female,West,Pacific,76.97124064,white
California,CA,1974,Male,West,Pacific,69.69120784,white
California,CA,1975,Female,West,Pacific,77.39540037,white
California,CA,1975,Male,West,Pacific,70.04753328,white
California,CA,1976,Female,West,Pacific,77.62147673,white
California,CA,1976,Male,West,Pacific,70.41911511,white
California,CA,1977,Female,West,Pacific,78.08498654,white
California,CA,1977,Male,West,Pacific,70.82118215,white
California,CA,1978,Female,West,Pacific,78.19837922,white
California,CA,1978,Male,West,Pacific,70.91838012,white
California,CA,1979,Female,West,Pacific,78.37076485,white
California,CA,1979,Male,West,Pacific,71.07620543,white
California,CA,1980,Female,West,Pacific,78.16407203,white
California,CA,1980,Male,West,Pacific,71.11893448,white
California,CA,1981,Female,West,Pacific,78.46501357,white
California,CA,1981,Male,West,Pacific,71.5447926,white
California,CA,1982,Female,West,Pacific,78.61585256,white
California,CA,1982,Male,West,Pacific,71.75172241,white
California,CA,1983,Female,West,Pacific,78.78658941,white
California,CA,1983,Male,West,Pacific,72.12643659,white
California,CA,1984,Female,West,Pacific,78.73961509,white
California,CA,1984,Male,West,Pacific,72.06464543,white
California,CA,1985,Female,West,Pacific,78.72396066,white
California,CA,1985,Male,West,Pacific,72.01504194,white
California,CA,1986,Female,West,Pacific,78.93284414,white
California,CA,1986,Male,West,Pacific,72.204321,white
California,CA,1987,Female,West,Pacific,78.85457224,white
California,CA,1987,Male,West,Pacific,72.19172887,white
California,CA,1988,Female,West,Pacific,78.77146801,white
California,CA,1988,Male,West,Pacific,72.24736252,white
California,CA,1989,Female,West,Pacific,78.94817992,white
California,CA,1989,Male,West,Pacific,72.37733509,white
California,CA,1990,Female,West,Pacific,79.37806523,white
California,CA,1990,Male,West,Pacific,72.64590774,white
California,CA,1991,Female,West,Pacific,79.69065649,white
California,CA,1991,Male,West,Pacific,72.93670901,white
California,CA,1992,Female,West,Pacific,79.89161138,white
California,CA,1992,Male,West,Pacific,73.18238389,white
California,CA,1993,Female,West,Pacific,79.83638686,white
California,CA,1993,Male,West,Pacific,73.21654437,white
California,CA,1994,Female,West,Pacific,79.87545277,white
California,CA,1994,Male,West,Pacific,73.38439994,white
California,CA,1995,Female,West,Pacific,80.07045622,white
California,CA,1995,Male,West,Pacific,73.69254369,white
California,CA,1996,Female,West,Pacific,80.16597121,white
California,CA,1996,Male,West,Pacific,74.39380971,white
California,CA,1997,Female,West,Pacific,80.21535052,white
California,CA,1997,Male,West,Pacific,74.92630484,white
California,CA,1998,Female,West,Pacific,80.27111793,white
California,CA,1998,Male,West,Pacific,75.25034369,white
California,CA,1999,Female,West,Pacific,80.42760788,white
California,CA,1999,Male,West,Pacific,75.62266663,white
California,CA,2000,Female,West,Pacific,80.64898953,white
California,CA,2000,Male,West,Pacific,75.83613783,white
California,CA,2001,Female,West,Pacific,80.69505777,white
California,CA,2001,Male,West,Pacific,75.94105089,white
California,CA,2002,Female,West,Pacific,80.86604354,white
California,CA,2002,Male,West,Pacific,76.09014729,white
California,CA,2003,Female,West,Pacific,80.94666568,white
California,CA,2003,Male,West,Pacific,76.16323296,white
California,CA,2004,Female,West,Pacific,81.33737852,white
California,CA,2004,Male,West,Pacific,76.59083709,white
California,CA,2005,Female,West,Pacific,81.44743336,white
California,CA,2005,Male,West,Pacific,76.68469366,white
California,CA,2006,Female,West,Pacific,81.68578088,white
California,CA,2006,Male,West,Pacific,76.81648301,white
California,CA,2007,Female,West,Pacific,82.0820278,white
California,CA,2007,Male,West,Pacific,77.27827857,white
California,CA,2008,Female,West,Pacific,82.26574502,white
California,CA,2008,Male,West,Pacific,77.60488611,white
California,CA,2009,Female,West,Pacific,82.70852754,white
California,CA,2009,Male,West,Pacific,77.94163047,white
California,CA,2010,Female,West,Pacific,82.8286117,white
California,CA,2010,Male,West,Pacific,78.25793384,white
California,CA,2011,Female,West,Pacific,82.86604582,white
California,CA,2011,Male,West,Pacific,78.3148789,white
California,CA,2012,Female,West,Pacific,83.03270429,white
California,CA,2012,Male,West,Pacific,78.44007369,white
California,CA,2013,Female,West,Pacific,83.06182939,white
California,CA,2013,Male,West,Pacific,78.41146545,white
Colorado,CO,1969,Female,West,Mountain,76.3494205,white
Colorado,CO,1969,Male,West,Mountain,68.80111284,white
Colorado,CO,1970,Female,West,Mountain,76.5585129,white
Colorado,CO,1970,Male,West,Mountain,68.91035363,white
Colorado,CO,1971,Female,West,Mountain,76.69490599,white
Colorado,CO,1971,Male,West,Mountain,69.15192252,white
Colorado,CO,1972,Female,West,Mountain,76.99567034,white
Colorado,CO,1972,Male,West,Mountain,69.29327352,white
Colorado,CO,1973,Female,West,Mountain,77.06383482,white
Colorado,CO,1973,Male,West,Mountain,69.49156432,white
Colorado,CO,1974,Female,West,Mountain,77.59144313,white
Colorado,CO,1974,Male,West,Mountain,70.05509518,white
Colorado,CO,1975,Female,West,Mountain,78.18986166,white
Colorado,CO,1975,Male,West,Mountain,70.49641744,white
Colorado,CO,1976,Female,West,Mountain,78.37986836,white
Colorado,CO,1976,Male,West,Mountain,70.79053851,white
Colorado,CO,1977,Female,West,Mountain,78.66946662,white
Colorado,CO,1977,Male,West,Mountain,71.18453177,white
Colorado,CO,1978,Female,West,Mountain,78.87402483,white
Colorado,CO,1978,Male,West,Mountain,71.46924187,white
Colorado,CO,1979,Female,West,Mountain,79.10931551,white
Colorado,CO,1979,Male,West,Mountain,71.68427391,white
Colorado,CO,1980,Female,West,Mountain,79.221977999999993,white
Colorado,CO,1980,Male,West,Mountain,71.96864767,white
Colorado,CO,1981,Female,West,Mountain,79.22860916,white
Colorado,CO,1981,Male,West,Mountain,72.16569447,white
Colorado,CO,1982,Female,West,Mountain,79.41085923,white
Colorado,CO,1982,Male,West,Mountain,72.39389404,white
Colorado,CO,1983,Female,West,Mountain,79.67226541,white
Colorado,CO,1983,Male,West,Mountain,72.72121272,white
Colorado,CO,1984,Female,West,Mountain,79.43395403,white
Colorado,CO,1984,Male,West,Mountain,73.01519112,white
Colorado,CO,1985,Female,West,Mountain,79.66306618,white
Colorado,CO,1985,Male,West,Mountain,73.2145456,white
Colorado,CO,1986,Female,West,Mountain,79.71284265,white
Colorado,CO,1986,Male,West,Mountain,73.38861743,white
Colorado,CO,1987,Female,West,Mountain,79.82283779,white
Colorado,CO,1987,Male,West,Mountain,73.45831932,white
Colorado,CO,1988,Female,West,Mountain,79.87479345,white
Colorado,CO,1988,Male,West,Mountain,73.56891066,white
Colorado,CO,1989,Female,West,Mountain,80.22725005,white
Colorado,CO,1989,Male,West,Mountain,73.83456316,white
Colorado,CO,1990,Female,West,Mountain,80.29403714,white
Colorado,CO,1990,Male,West,Mountain,74.01208117,white
Colorado,CO,1991,Female,West,Mountain,80.33212555,white
Colorado,CO,1991,Male,West,Mountain,74.1294563,white
Colorado,CO,1992,Female,West,Mountain,80.54753663,white
Colorado,CO,1992,Male,West,Mountain,74.30225174,white
Colorado,CO,1993,Female,West,Mountain,80.43346002,white
Colorado,CO,1993,Male,West,Mountain,74.47179711,white
Colorado,CO,1994,Female,West,Mountain,80.59488327,white
Colorado,CO,1994,Male,West,Mountain,74.63090144,white
Colorado,CO,1995,Female,West,Mountain,80.55633617,white
Colorado,CO,1995,Male,West,Mountain,74.81307659,white
Colorado,CO,1996,Female,West,Mountain,80.42931955,white
Colorado,CO,1996,Male,West,Mountain,75.11493971,white
Colorado,CO,1997,Female,West,Mountain,80.59559974,white
Colorado,CO,1997,Male,West,Mountain,75.45330244,white
Colorado,CO,1998,Female,West,Mountain,80.59944059,white
Colorado,CO,1998,Male,West,Mountain,75.63342392,white
Colorado,CO,1999,Female,West,Mountain,80.61467374,white
Colorado,CO,1999,Male,West,Mountain,75.85603321,white
Colorado,CO,2000,Female,West,Mountain,80.72208254,white
Colorado,CO,2000,Male,West,Mountain,76.08963009,white
Colorado,CO,2001,Female,West,Mountain,80.61906207,white
Colorado,CO,2001,Male,West,Mountain,76.18632131,white
Colorado,CO,2002,Female,West,Mountain,80.69303746,white
Colorado,CO,2002,Male,West,Mountain,76.10569791,white
Colorado,CO,2003,Female,West,Mountain,80.81923095,white
Colorado,CO,2003,Male,West,Mountain,76.33477693,white
Colorado,CO,2004,Female,West,Mountain,81.36143504,white
Colorado,CO,2004,Male,West,Mountain,76.64509041,white
Colorado,CO,2005,Female,West,Mountain,81.35205091,white
Colorado,CO,2005,Male,West,Mountain,76.80691643,white
Colorado,CO,2006,Female,West,Mountain,81.5733047,white
Colorado,CO,2006,Male,West,Mountain,77.18656511,white
Colorado,CO,2007,Female,West,Mountain,81.8138312,white
Colorado,CO,2007,Male,West,Mountain,77.32956169,white
Colorado,CO,2008,Female,West,Mountain,81.85561933,white
Colorado,CO,2008,Male,West,Mountain,77.47664346,white
Colorado,CO,2009,Female,West,Mountain,82.16596224,white
Colorado,CO,2009,Male,West,Mountain,77.78008255,white
Colorado,CO,2010,Female,West,Mountain,82.27204566,white
Colorado,CO,2010,Male,West,Mountain,78.0053503,white
Colorado,CO,2011,Female,West,Mountain,82.40244713,white
Colorado,CO,2011,Male,West,Mountain,78.06313083,white
Colorado,CO,2012,Female,West,Mountain,82.53527195,white
Colorado,CO,2012,Male,West,Mountain,78.22451758,white
Colorado,CO,2013,Female,West,Mountain,82.60998031,white
Colorado,CO,2013,Male,West,Mountain,78.37069596,white
Connecticut,CT,1969,Female,Northeast,New England,76.47760248,white
Connecticut,CT,1969,Male,Northeast,New England,69.50020553,white
Connecticut,CT,1970,Female,Northeast,New England,76.77799289,white
Connecticut,CT,1970,Male,Northeast,New England,69.6964027,white
Connecticut,CT,1971,Female,Northeast,New England,77.06337219,white
Connecticut,CT,1971,Male,Northeast,New England,69.97977558,white
Connecticut,CT,1972,Female,Northeast,New England,77.24124709,white
Connecticut,CT,1972,Male,Northeast,New England,70.0930372,white
Connecticut,CT,1973,Female,Northeast,New England,77.41472381,white
Connecticut,CT,1973,Male,Northeast,New England,70.27600182,white
Connecticut,CT,1974,Female,Northeast,New England,77.80592126,white
Connecticut,CT,1974,Male,Northeast,New England,70.62742181,white
Connecticut,CT,1975,Female,Northeast,New England,78.19723299,white
Connecticut,CT,1975,Male,Northeast,New England,70.95579068,white
Connecticut,CT,1976,Female,Northeast,New England,78.28651439,white
Connecticut,CT,1976,Male,Northeast,New England,71.24947425,white
Connecticut,CT,1977,Female,Northeast,New England,78.61064439,white
Connecticut,CT,1977,Male,Northeast,New England,71.57794895,white
Connecticut,CT,1978,Female,Northeast,New England,78.76009902,white
Connecticut,CT,1978,Male,Northeast,New England,71.80962761,white
Connecticut,CT,1979,Female,Northeast,New England,79.03239683,white
Connecticut,CT,1979,Male,Northeast,New England,71.90152357,white
Connecticut,CT,1980,Female,Northeast,New England,78.98701359,white
Connecticut,CT,1980,Male,Northeast,New England,71.99103746,white
Connecticut,CT,1981,Female,Northeast,New England,79.28181354,white
Connecticut,CT,1981,Male,Northeast,New England,72.23752121,white
Connecticut,CT,1982,Female,Northeast,New England,79.49410519,white
Connecticut,CT,1982,Male,Northeast,New England,72.46326509,white
Connecticut,CT,1983,Female,Northeast,New England,79.49281264,white
Connecticut,CT,1983,Male,Northeast,New England,72.73597783,white
Connecticut,CT,1984,Female,Northeast,New England,79.54046591,white
